,k,AIC,Inertia
0,0,266939.96875,265915.96875
1,1,246966.92592405292,244918.92592405292
2,2,240817.75262610833,237745.75262610833
3,3,235744.1089928633,231648.1089928633
4,4,231442.5224773323,226322.5224773323
5,5,228984.01735782708,222840.01735782708
6,6,227457.86655831023,220289.86655831023
7,7,226358.29924593816,218166.29924593816
8,8,225516.09553810643,216300.09553810643
9,9,224880.8734804859,214640.8734804859
10,10,224336.1838174445,213072.1838174445
11,11,223832.01341015645,211544.01341015645
12,12,223668.90778012868,210356.90778012868
13,13,223564.36087856477,209228.36087856477
14,14,223533.5630074395,208173.5630074395
15,15,223654.428929326,207270.428929326
16,16,223884.54752909095,206476.54752909095
17,17,224150.9351285841,205718.9351285841
18,18,224450.62267012423,204994.62267012423
19,19,224711.82337499555,204231.82337499555
20,20,225036.6223194904,203532.6223194904
21,21,225534.15513848703,203006.15513848703
22,22,225808.85026059626,202256.85026059626
23,23,226251.90014468288,201675.90014468288
24,24,226763.09851618967,201163.09851618967
25,25,227113.58368289788,200489.58368289788
26,26,227809.5668037693,200161.5668037693
27,27,228298.66083317375,199626.66083317375
28,28,228589.74161339056,198893.74161339056
29,29,229185.81743776408,198465.81743776408
